# Official SEC N-PORT invstOrSec extract for SPWO accession 0000894189-26-018183 as-of 2026-04-30
# columns: name title cusip isin pctVal invCountry curCd currencyConditional assetCat issuerCat
Descartes Systems Group Inc/Th	Descartes Systems Group Inc/The	249906108	CA2499061083	0.0290483602	CA		CAD	EC	CORP
TDK Corp	TDK Corp	N/A	JP3538800008	0.1841204289	JP		JPY	EC	CORP
WuXi AppTec Co Ltd	WuXi AppTec Co Ltd	N/A	CNE100003F19	0.0865685641	CN		HKD	EC	CORP
WiseTech Global Ltd	WiseTech Global Ltd	N/A	AU000000WTC3	0.0281285903	AU		AUD	EC	CORP
Arca Continental SAB de CV	Arca Continental SAB de CV	P0448R103	MX01AC100006	0.0681068979	MX		MXN	EC	CORP
Fortescue Ltd	Fortescue Ltd	34959A206	US34959A2069	0.1253491179	AU	USD		EC	CORP
Sage Group PLC/The	Sage Group PLC/The	78663S201	US78663S2014	0.0584154808	GB	USD		EC	CORP
Sika AG	Sika AG	82674R103	US82674R1032	0.1538108861	CH	USD		EC	CORP
Subaru Corp	Subaru Corp	86428V104	US86428V1044	0.0453478012	JP	USD		EC	CORP
Suzuki Motor Corp	Suzuki Motor Corp	86959X107	US86959X1072	0.1136287982	JP	USD		EC	CORP
Skanska AB	Skanska AB	N/A	SE0000113250	0.0485364323	SE		SEK	EC	CORP
Sonova Holding AG	Sonova Holding AG	83569C102	US83569C1027	0.0560539261	CH	USD		EC	CORP
UCB SA	UCB SA	903480101	US9034801012	0.1625708738	BE	USD		EC	CORP
Schindler Holding AG	Schindler Holding AG	N/A	CH0024638196	0.0697292530	CH		CHF	EC	CORP
Saudi Telecom Co	Saudi Telecom Co	N/A	SA0007879543	0.2519161790	SA		SAR	EC	CORP
Almarai Co JSC	Almarai Co JSC	N/A	SA000A0ETHT1	0.0622198593	SA		SAR	EC	CORP
Shenzhen Mindray Bio-Medical E	Shenzhen Mindray Bio-Medical Electronics Co Ltd	Y774E3101	CNE100003G67	0.0231535485	CN		CNY	EC	CORP
3SBio Inc	3SBio Inc	N/A	KYG8875G1029	0.0634907646	CN		HKD	EC	CORP
Dai Nippon Printing Co Ltd	Dai Nippon Printing Co Ltd	233806306	US2338063066	0.0421391474	JP	USD		EC	CORP
Epiroc AB	Epiroc AB	29429L402	US29429L4023	0.0926262769	SE	USD		EC	CORP
EssilorLuxottica SA	EssilorLuxottica SA	297284200	US2972842007	0.3202703147	FR	USD		EC	CORP
FANUC Corp	FANUC Corp	307305102	US3073051027	0.2153285835	JP	USD		EC	CORP
Fortune Electric Co Ltd	Fortune Electric Co Ltd	N/A	TW0001519007	0.0724911470	TW		TWD	EC	CORP
Emaar Properties PJSC	Emaar Properties PJSC	N/A	AEE000301011	0.2313934275	AE		AED	EC	CORP
Goodman Group	Goodman Group	N/A	AU000000GMG2	0.2236135280	AU		AUD	EC	CORP
Essity AB	Essity AB	N/A	SE0009922164	0.0819812720	SE		SEK	EC	CORP
Dubai Electricity & Water Auth	Dubai Electricity & Water Authority PJSC	N/A	AED001801011	0.0756132772	AE		AED	EC	CORP
EXOR NV	EXOR NV	N/A	NL0012059018	0.0344249599	NL		EUR	EC	CORP
DSM-Firmenich AG	DSM-Firmenich AG	N/A	CH1216478797	0.0955401245	CH		EUR	EC	CORP
TFI International Inc	TFI International Inc	87241L109	CA87241L1094	0.0563225849	CA		CAD	EC	CORP
JD.com Inc	JD.com Inc	47215P106	US47215P1066	0.5108146764	CN	USD		EC	CORP
Kyocera Corp	Kyocera Corp	501556203	US5015562037	0.1346313194	JP	USD		EC	CORP
Mitsubishi Electric Corp	Mitsubishi Electric Corp	606776201	US6067762012	0.4417283573	JP	USD		EC	CORP
Murata Manufacturing Co Ltd	Murata Manufacturing Co Ltd	626425102	US6264251025	0.3190093374	JP	USD		EC	CORP
NIDEC CORP	NIDEC CORP	654090109	US6540901096	0.0842997669	JP	USD		EC	CORP
Nomura Research Institute Ltd	Nomura Research Institute Ltd	65538C206	US65538C2061	0.0599143003	JP	USD		EC	CORP
Sekisui Chemical Co Ltd	Sekisui Chemical Co Ltd	N/A	JP3419400001	0.0309707742	JP		JPY	EC	CORP
Ryanair Holdings PLC	Ryanair Holdings PLC	783513203	US7835132033	0.0707297230	IE	USD		EC	CORP
Sanofi SA	Sanofi SA	80105N105	US80105N1054	0.5217753633	FR	USD		EC	CORP
Xiaomi Corp	Xiaomi Corp	98421U108	US98421U1088	0.7531760893	CN	USD		EC	CORP
Sino Biopharmaceutical Ltd	Sino Biopharmaceutical Ltd	N/A	KYG8167W1380	0.0801170471	HK		HKD	EC	CORP
Kinross Gold Corp	Kinross Gold Corp	496902404	CA4969024047	0.1890686818	CA		CAD	EC	CORP
Logitech International SA	Logitech International SA	N/A	CH0025751329	0.0751419091	CH		CHF	EC	CORP
Lotes Co Ltd	Lotes Co Ltd	N/A	TW0003533006	0.0861727333	TW		TWD	EC	CORP
Press Metal Aluminium Holdings	Press Metal Aluminium Holdings Bhd	N/A	MYL8869OO009	0.0937855885	MY		MYR	EC	CORP
Saudi Arabian Oil Co	Saudi Arabian Oil Co	N/A	SA14TG012N13	0.4907087917	SA		SAR	EC	CORP
Li Auto Inc	Li Auto Inc	N/A	KYG5479M1050	0.1200566175	CN		HKD	EC	CORP
Samsung C&T Corp	Samsung C&T Corp	N/A	KR7028260008	0.0898347785	KR		KRW	EC	CORP
FUJIFILM Holdings Corp	FUJIFILM Holdings Corp	35958N107	US35958N1072	0.1184802916	JP	USD		EC	CORP
Geberit AG	Geberit AG	36840V109	US36840V1098	0.1126791610	CH	USD		EC	CORP
Rio Tinto Ltd	Rio Tinto Ltd	N/A	AU000000RIO1	0.2168953533	AU		AUD	EC	CORP
Ebara Corp	Ebara Corp	N/A	JP3166000004	0.0717930191	JP		JPY	EC	CORP
HD Korea Shipbuilding & Offsho	HD Korea Shipbuilding & Offshore Engineering Co Ltd	N/A	KR7009540006	0.0692455838	KR		KRW	EC	CORP
SMC Corp	SMC Corp	78445W306	US78445W3060	0.1539388662	JP	USD		EC	CORP
Shin-Etsu Chemical Co Ltd	Shin-Etsu Chemical Co Ltd	824551105	US8245511055	0.4764305508	JP	USD		EC	CORP
Shimano Inc	Shimano Inc	82455C101	US82455C1018	0.0442480320	JP	USD		EC	CORP
Indutrade AB	Indutrade AB	N/A	SE0001515552	0.0274355675	SE		SEK	EC	CORP
Suncor Energy Inc	Suncor Energy Inc	867224107	CA8672241079	0.4235446494	CA		CAD	EC	CORP
Dollarama Inc	Dollarama Inc	25675T107	CA25675T1075	0.1818401516	CA		CAD	EC	CORP
Samsung Biologics Co Ltd	Samsung Biologics Co Ltd	N/A	KR7207940008	0.0533933964	KR		KRW	EC	CORP
Galderma Group AG	Galderma Group AG	N/A	CH1335392721	0.1971950734	CH		CHF	EC	CORP
Assa Abloy AB	Assa Abloy AB	045387107	US0453871073	0.1979691429	SE	USD		EC	CORP
Asia Vital Components Co Ltd	Asia Vital Components Co Ltd	N/A	TW0003017000	0.3479240095	TW		TWD	EC	CORP
RELX PLC	RELX PLC	759530108	US7595301083	0.3455949004	GB	USD		EC	CORP
SGS SA	SGS SA	818800104	US8188001049	0.0897672450	CH	USD		EC	CORP
SHENZHOU INTL	Shenzhou International Group Holdings Ltd	82322R109	US82322R1095	0.0557935664	CN	USD		EC	CORP
Shiseido Co Ltd	Shiseido Co Ltd	824841407	US8248414075	0.0423087827	JP	USD		EC	CORP
SingTel	Singapore Telecommunications Ltd	82929R304	US82929R3049	0.1345308594	SG	USD		EC	CORP
Abu Dhabi National Energy Co P	Abu Dhabi National Energy Co PJSC	N/A	AEA002401015	0.0246162925	AE		AED	EC	CORP
Orion Oyj	Orion Oyj	N/A	FI0009014377	0.0434152668	FI		EUR	EC	CORP
SITC International Holdings Co	SITC International Holdings Co Ltd	N/A	KYG8187G1055	0.0629140943	HK		HKD	EC	CORP
ARC Resources Ltd	ARC Resources Ltd	00208D408	CA00208D4084	0.0681363676	CA		CAD	EC	CORP
SD Guthrie Bhd	SD Guthrie Bhd	N/A	MYL5285OO001	0.0678253738	MY		MYR	EC	CORP
ZTO Express Cayman Inc	ZTO Express Cayman Inc	N/A	KYG9897K1058	0.1214492947	CN		HKD	EC	CORP
AstraZeneca PLC	AstraZeneca PLC	N/A	GB0009895292	1.4878063554	GB	USD		EC	CORP
BeOne Medicines Ltd	BeOne Medicines Ltd	07725L102	US07725L1026	0.2431503936	US	USD		EC	CORP
BHP Group Ltd	BHP Group Ltd	088606108	US0886061086	1.0531276126	AU	USD		EC	CORP
Bridgestone Corp	Bridgestone Corp	108441205	US1084412055	0.1262375260	JP	USD		EC	CORP
Chunghwa Telecom Co Ltd	Chunghwa Telecom Co Ltd	17133Q502	US17133Q5027	0.1902068162	TW	USD		EC	CORP
Grupo Mexico SAB de CV	Grupo Mexico SAB de CV	P49538112	MXP370841019	0.3955722903	MX		MXN	EC	CORP
Dubai Islamic Bank PJSC	Dubai Islamic Bank PJSC	N/A	AED000201015	0.0655404532	AE		AED	EC	CORP
Eisai Co Ltd	Eisai Co Ltd	N/A	JP3160400002	0.0431411951	JP		JPY	EC	CORP
Hyundai Mobis Co Ltd	Hyundai Mobis Co Ltd	N/A	KR7012330007	0.0836163578	KR		KRW	EC	CORP
Kia Corp	Kia Corp	N/A	KR7000270009	0.1321971647	KR		KRW	EC	CORP
BIM Birlesik Magazalar AS	BIM Birlesik Magazalar AS	N/A	TREBIMM00018	0.0828504719	TR		TRY	EC	CORP
CMOC Group Ltd	CMOC Group Ltd	N/A	CNE100000114	0.0946713992	CN		HKD	EC	CORP
Dr Reddy's Laboratories Ltd	Dr Reddy's Laboratories Ltd	256135203	US2561352038	0.0965945764	IN	USD		EC	CORP
Toromont Industries Ltd	Toromont Industries Ltd	891102105	CA8911021050	0.0612083582	CA		CAD	EC	CORP
Gold Fields Ltd	Gold Fields Ltd	38059T106	US38059T1060	0.4465880343	ZA	USD		EC	CORP
Haier Smart Home Co Ltd	Haier Smart Home Co Ltd	40523H106	US40523H1068	0.0765783515	CN	USD		EC	CORP
Bangkok Dusit Medical Services	Bangkok Dusit Medical Services PCL	N/A	TH0264A10Z04	0.0311284549	TH		THB	EC	CORP
Hygon Information Technology C	Hygon Information Technology Co Ltd	N/A	CNE100005PT2	0.0816582723	CN		CNY	EC	CORP
Laopu Gold Co Ltd	Laopu Gold Co Ltd	N/A	CNE100006JG0	0.0370121135	CN		HKD	EC	CORP
Hermes International SCA	Hermes International SCA	42751Q105	US42751Q1058	0.3422494160	FR	USD		EC	CORP
Hexagon AB	Hexagon AB	428263107	US4282631070	0.1151878398	SE	USD		EC	CORP
Impala Platinum Holdings Ltd	Impala Platinum Holdings Ltd	452553308	US4525533083	0.1495741332	ZA	USD		EC	CORP
Lasertec Corp	Lasertec Corp	51809L109	US51809L1098	0.1150623418	JP	USD		EC	CORP
Merck KGaA	Merck KGaA	589339209	US5893392093	0.0866419017	DE	USD		EC	CORP
Elite Material Co Ltd	Elite Material Co Ltd	N/A	TW0002383007	0.5443512538	TW		TWD	EC	CORP
KINGDEE INT'L	Kingdee International Software Group Co Ltd	N/A	KYG525681477	0.0360917858	CN		HKD	EC	CORP
Keyence Corp	Keyence Corp	N/A	JP3236200006	0.4686437697	JP		JPY	EC	CORP
Nitto Denko Corp	Nitto Denko Corp	654802206	US6548022069	0.0691358949	JP	USD		EC	CORP
Valterra Platinum Ltd	Valterra Platinum Ltd	N/A	ZAE000013181	0.2460915239	ZA		ZAR	EC	CORP
Samsung Electronics Co Ltd	Samsung Electronics Co Ltd	N/A	KR7005930003	3.8038026393	KR		KRW	EC	CORP
JUMBO SA	JUMBO SA	N/A	GRS282183003	0.0348982072	GR		EUR	EC	CORP
Tokyo Electron Ltd	Tokyo Electron Ltd	889110102	US8891101029	0.7307622535	JP	USD		EC	CORP
Trend Micro Inc/Japan	Trend Micro Inc/Japan	89486M206	US89486M2061	0.0223060709	JP	USD		EC	CORP
Global Unichip Corp	Global Unichip Corp	N/A	TW0003443008	0.1294297358	TW		TWD	EC	CORP
MatsukiyoCocokara & Co	MatsukiyoCocokara & Co	N/A	JP3869010003	0.0283202045	JP		JPY	EC	CORP
eMemory Technology Inc	eMemory Technology Inc	N/A	TW0003529004	0.0868037639	TW		TWD	EC	CORP
Tourmaline Oil Corp	Tourmaline Oil Corp	89156V106	CA89156V1067	0.0910295820	CA		CAD	EC	CORP
Nibe Industrier AB	Nibe Industrier AB	W6S38Z126	SE0015988019	0.0354973951	SE		SEK	EC	CORP
Giant Biogene Holding Co ltd	Giant Biogene Holding Co ltd	N/A	KYG3887G1091	0.0214336836	CN		HKD	EC	CORP
Waste Connections Inc	Waste Connections Inc	94106B101	CA94106B1013	0.2155082686	CA		CAD	EC	CORP
Agnico Eagle Mines Ltd	Agnico Eagle Mines Ltd	008474108	CA0084741085	0.4868453455	CA		CAD	EC	CORP
Haleon PLC	Haleon PLC	405552100	US4055521003	0.2116060724	GB	USD		EC	CORP
Henkel AG & Co KGaA	Henkel AG & Co KGaA	42550U109	US42550U1097	0.0352379717	DE	USD		EC	CORP
Hitachi Ltd	Hitachi Ltd	433578507	US4335785071	0.7419639188	JP	USD		EC	CORP
Wipro Ltd	Wipro Ltd	97651M109	US97651M1099	0.0724964573	IN	USD		EC	CORP
Industria de Diseno Textil SA	Industria de Diseno Textil SA	455793109	US4557931098	0.3432825368	ES	USD		EC	CORP
Kao Corp	Kao Corp	485537401	US4855374017	0.0895284408	JP	USD		EC	CORP
Kanzhun Ltd	Kanzhun Ltd	48553T106	US48553T1060	0.0576272185	CN	USD		EC	CORP
Kuehne + Nagel International A	Kuehne + Nagel International AG	501187108	US5011871085	0.0628284236	CH	USD		EC	CORP
L'Oreal SA	L'Oreal SA	502117203	US5021172037	0.5106774097	FR	USD		EC	CORP
Lonza Group AG	Lonza Group AG	54338V101	US54338V1017	0.2214546122	CH	USD		EC	CORP
Accton Technology Corp	Accton Technology Corp	N/A	TW0002345006	0.4256020726	TW		TWD	EC	CORP
Taiwan Mobile Co Ltd	Taiwan Mobile Co Ltd	N/A	TW0003045001	0.0715899120	TW		TWD	EC	CORP
Tripod Technology Corp	Tripod Technology Corp	N/A	TW0003044004	0.0748236424	TW		TWD	EC	CORP
Kawasaki Kisen Kaisha Ltd	Kawasaki Kisen Kaisha Ltd	N/A	JP3223800008	0.0545769123	JP		JPY	EC	CORP
ABB Ltd	ABB Ltd	N/A	CH0012221716	0.7972052372	CH		CHF	EC	CORP
TOTVS SA	TOTVS SA	N/A	BRTOTSACNOR8	0.0373478504	BR		BRL	EC	CORP
Svenska Cellulosa AB SCA	Svenska Cellulosa AB SCA	N/A	SE0000112724	0.0239903285	SE		SEK	EC	CORP
Want Want China Holdings Ltd	Want Want China Holdings Ltd	N/A	KYG9431R1039	0.0302502313	HK		HKD	EC	CORP
Jentech Precision Industrial C	Jentech Precision Industrial Co Ltd	N/A	TW0003653002	0.1635671110	TW		TWD	EC	CORP
IHH Healthcare Bhd	IHH Healthcare Bhd	N/A	MYL5225OO007	0.0799565124	MY		MYR	EC	CORP
Ivanhoe Mines Ltd	Ivanhoe Mines Ltd	46579R104	CA46579R1047	0.0282688650	CA		CAD	EC	CORP
Innovent Biologics Inc	Innovent Biologics Inc	N/A	KYG4818G1010	0.1897762439	CN		HKD	EC	CORP
Alcon AG	Alcon AG	N/A	CH0432492467	0.1908846905	CH		CHF	EC	CORP
Lifco AB	Lifco AB	W5321L166	SE0015949201	0.0357710179	SE		SEK	EC	CORP
ACWA Power Co	ACWA Power Co	N/A	SA15CGS10H12	0.1163732926	SA		SAR	EC	CORP
JD Health International Inc	JD Health International Inc	N/A	KYG5074A1004	0.0689242323	CN		HKD	EC	CORP
BYD Co Ltd	BYD Co Ltd	05606L100	US05606L1008	0.5734112544	CN	USD		EC	CORP
Boliden AB	Boliden AB	09752V102	US09752V1026	0.0736338670	SE	USD		EC	CORP
Canadian National Railway Co	Canadian National Railway Co	136375102	CA1363751027	0.3191206361	CA		CAD	EC	CORP
Celltrion Inc	Celltrion Inc	N/A	KR7068270008	0.1069843972	KR		KRW	EC	CORP
CATL	Contemporary Amperex Technology Co Ltd	Y1R48E105	CNE100003662	0.2407261284	CN		CNY	EC	CORP
Chugai Pharmaceutical Co Ltd	Chugai Pharmaceutical Co Ltd	171269103	US1712691039	0.1824001278	JP	USD		EC	CORP
ASM International NV	ASM International NV	N/A	NL0000334118	0.2049614598	NL		EUR	EC	CORP
United Microelectronics Corp	United Microelectronics Corp	910873405	US9108734057	0.3586747078	TW	USD		EC	CORP
Wuxi Biologics Cayman Inc	Wuxi Biologics Cayman Inc	98260N108	US98260N1081	0.1761527569	CN	USD		EC	CORP
Aselsan Elektronik Sanayi Ve T	Aselsan Elektronik Sanayi Ve Ticaret AS	N/A	TRAASELS91H2	0.1283298319	TR		TRY	EC	CORP
Advantest Corp	Advantest Corp	00762U200	US00762U2006	0.7015976113	JP	USD		EC	CORP
Diploma PLC	Diploma PLC	N/A	GB0001826634	0.0630212820	GB		GBP	EC	CORP
Atlas Copco AB	Atlas Copco AB	049255706	US0492557063	0.2508547364	SE	USD		EC	CORP
Atlas Copco AB	Atlas Copco AB	049255805	US0492558053	0.1377620244	SE	USD		EC	CORP
Autotrader Group PLC	Autotrader Group PLC	05277E104	US05277E1047	0.0307729903	GB	USD		EC	CORP
Beiersdorf AG	Beiersdorf AG	07724U103	US07724U1034	0.0411763626	DE	USD		EC	CORP
Alfa Laval AB	Alfa Laval AB	015393101	US0153931011	0.0873848339	SE	USD		EC	CORP
Cochlear Ltd	Cochlear Ltd	191459205	US1914592050	0.0224433312	AU	USD		EC	CORP
Coloplast A/S	Coloplast A/S	19624Y200	US19624Y2000	0.0395438743	DK	USD		EC	CORP
Associated British Foods PLC	Associated British Foods PLC	045519402	US0455194029	0.0393369321	GB	USD		EC	CORP
Astellas Pharma Inc	Astellas Pharma Inc	04623U102	US04623U1025	0.1337529355	JP	USD		EC	CORP
CSL Ltd	CSL Ltd	12637N204	US12637N2045	0.2257006711	AU	USD		EC	CORP
Coca-Cola Femsa SAB de CV	Coca-Cola Femsa SAB de CV	191241108	US1912411089	0.0575905336	MX	USD		EC	CORP
Cameco Corp	Cameco Corp	13321L108	CA13321L1085	0.2731773989	CA		CAD	EC	CORP
Daiichi Sankyo Co Ltd	Daiichi Sankyo Co Ltd	23381D102	US23381D1028	0.1597716022	JP	USD		EC	CORP
Dassault Systemes SE	Dassault Systemes SE	237545108	US2375451083	0.0777442112	FR	USD		EC	CORP
Chocoladefabriken Lindt & Spru	Chocoladefabriken Lindt & Spruengli AG	N/A	CH0010570759	0.0827460484	CH		CHF	EC	CORP
Denso Corp	Denso Corp	24872B100	US24872B1008	0.1209722827	JP	USD		EC	CORP
Disco Corp	Disco Corp	25461D100	US25461D1000	0.2345908001	JP	USD		EC	CORP
Asustek Computer Inc	Asustek Computer Inc	N/A	TW0002357001	0.1503089139	TW		TWD	EC	CORP
Chroma ATE Inc	Chroma ATE Inc	N/A	TW0002360005	0.3097823556	TW		TWD	EC	CORP
Experian PLC	Experian PLC	30215C101	US30215C1018	0.1733962950	IE	USD		EC	CORP
Fujitsu Ltd	Fujitsu Ltd	359590304	US3595903044	0.1771005662	JP	USD		EC	CORP
Advanced Info Service PCL	Advanced Info Service PCL	N/A	TH0268010Z03	0.1296132434	TH		THB	EC	CORP
Al Rajhi Bank	Al Rajhi Bank	N/A	SA0007879113	0.6100874643	SA		SAR	EC	CORP
Givaudan SA	Givaudan SA	37636P108	US37636P1084	0.1494040232	CH	USD		EC	CORP
Grupo Aeroportuario del Pacifi	Grupo Aeroportuario del Pacifico SAB de CV	400506101	US4005061019	0.1177591330	MX	USD		EC	CORP
Genmab A/S	Genmab A/S	N/A	DK0010272202	0.0854151272	DK		DKK	EC	CORP
Chocoladefabriken Lindt & Spru	Chocoladefabriken Lindt & Spruengli AG	N/A	CH0010570767	0.0549658486	CH		CHF	EC	CORP
Airtac International Group	Airtac International Group	N/A	KYG014081064	0.0766621366	TW		TWD	EC	CORP
ASPEED Technology Inc	ASPEED Technology Inc	N/A	TW0005274005	0.1604036590	TW		TWD	EC	CORP
CELCOMDIGI BHD	CELCOMDIGI BHD	N/A	MYL6947OO005	0.0299085812	MY		MYR	EC	CORP
Gold Circuit Electronics Ltd	Gold Circuit Electronics Ltd	N/A	TW0002368008	0.1685613097	TW		TWD	EC	CORP
Gigabyte Technology Co Ltd	Gigabyte Technology Co Ltd	N/A	TW0002376001	0.0533529790	TW		TWD	EC	CORP
Fujikura Ltd	Fujikura Ltd	N/A	JP3811000003	0.3225735649	JP		JPY	EC	CORP
ASML Holding NV	ASML Holding NV	N/A	NL0010273215	2.8591733919	NL		EUR	EC	CORP
Wiwynn Corp	Wiwynn Corp	N/A	TW0006669005	0.1956932845	TW		TWD	EC	CORP
China Shenhua Energy Co Ltd	China Shenhua Energy Co Ltd	N/A	CNE100000767	0.0488279357	CN		CNY	EC	CORP
Amman Mineral Internasional PT	Amman Mineral Internasional PT	N/A	ID1000191109	0.0473442006	ID		IDR	EC	CORP
BlueScope Steel Ltd	BlueScope Steel Ltd	N/A	AU000000BSL0	0.0478423448	AU		AUD	EC	CORP
Olympus Corp	Olympus Corp	N/A	JP3201200007	0.0586412401	JP		JPY	EC	CORP
Petronas Gas Bhd	Petronas Gas Bhd	N/A	MYL6033OO004	0.0505465949	MY		MYR	EC	CORP
Telekom Malaysia Bhd	Telekom Malaysia Bhd	N/A	MYL4863OO006	0.0534745584	MY		MYR	EC	CORP
Reckitt Benckiser Group PLC	Reckitt Benckiser Group PLC	756255303	US7562553039	0.2164977268	GB	USD		EC	CORP
SKF AB	SKF AB	784375404	US7843754042	0.0427184408	SE	USD		EC	CORP
Straumann Holding AG	Straumann Holding AG	86317T103	US86317T1034	0.0625769529	CH	USD		EC	CORP
Unicharm Corp	Unicharm Corp	90460M204	US90460M2044	0.0393421205	JP	USD		EC	CORP
adidas AG	adidas AG	00687A107	US00687A1079	0.1590867052	DE	USD		EC	CORP
Turkiye Petrol Rafinerileri AS	Turkiye Petrol Rafinerileri AS	N/A	TRATUPRS91E8	0.0630483146	TR		TRY	EC	CORP
