Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits
08/28/2026,SPSK,BPCTNF5,BPCTNF5,Al Rajhi Sukuk Ltd 5.047% 03/12/2029,3800000,100.143652,3805458.78,0.57%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BNNJS22,BNNJS22,Isdb Trust Services NO 2 SARL 4.747% 10/27/2027,3750000,100.579022,3771713.33,0.57%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRF2010,BRF2010,KFH Sukuk Co 5.011% 01/17/2029,3795000,99.803317,3787535.88,0.57%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BNBV831,BNBV831,Mdgh Sukuk Ltd 5% 06/04/2035,3755000,99.844556,3749163.08,0.57%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BTWMPV2,BTWMPV2,Isdb Trust Services NO 2 SARL 4.227% 05/14/2031,3800000,98.605689,3747016.18,0.57%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BR55K75,BR55K75,EDO Sukuk Ltd 5.875% 09/21/2033,3600000,102.3108,3683188.8,0.56%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BR4S8X7,BR4S8X7,Sharjah Sukuk Program Ltd 5.433% 04/17/2035,3750000,99.353728,3725764.8,0.56%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BNKDVM8,BNKDVM8,ROP Sukuk Trust 5.045% 06/06/2029,3700000,100.625,3723125.0,0.56%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BQH8G66,BQH8G66,Perusahaan Penerbit SBSN Indonesia III 5.2% 07/02/2034,3770000,98.4705,3712337.85,0.56%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BS84D22,BS84D22,DIB Sukuk Ltd 4.572% 11/19/2030,3765000,98.343954,3702649.87,0.56%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BKFH1X5,BKFH1X5,DP World Crescent Ltd 3.875% 07/18/2029,3765000,95.909635,3610997.76,0.55%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BSHT9V9,BSHT9V9,KFH Sukuk Co 5.376% 01/14/2030,3620000,100.937571,3653940.07,0.55%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BV1BZB4,BV1BZB4,SRC Sukuk Ltd 5.375% 02/27/2035,3600000,100.289964,3610438.7,0.55%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BLCG6V5,BLCG6V5,Saudi Electricity Global Sukuk Co 3 5.5% 04/08/2044,3790000,96.844468,3670405.34,0.55%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BLDCTP7,BLDCTP7,Perusahaan Penerbit SBSN Indonesia III 5.6% 11/15/2033,3625000,101.356,3674155.0,0.55%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BR4XWF2,BR4XWF2,RAK Capital 5% 03/12/2035,3600000,99.584786,3585052.3,0.54%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BFCMGH7,BFCMGH7,DP World Crescent Ltd 4.848% 09/26/2028,3625000,99.335612,3600915.94,0.54%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BVPBXJ4,BVPBXJ4,KFH Sukuk Co 4.563% 01/13/2031,3625000,98.154764,3558110.2,0.54%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BJNPR70,BJNPR70,Sharjah Sukuk Program Ltd 3.234% 10/23/2029,3790000,94.212044,3570636.47,0.54%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BSY0BK8,BSY0BK8,BBG Sukuk Ltd 4.56% 10/09/2029,3650000,98.767334,3605007.69,0.54%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRSCCN3,BRSCCN3,Mdgh Sukuk Ltd 4.959% 04/04/2034,3600000,99.831809,3593945.12,0.54%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BVBQT62,BVBQT62,Oman Sovereign Sukuk Co 4.525% 04/17/2033,3610000,97.22798,3509930.08,0.53%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRV14M0,BRV14M0,QIB Sukuk Ltd 4.803% 06/12/2030,3505000,99.3621,3482641.61,0.53%,662211157.5,36975000,1479.0
08/28/2026,SPSK,71567RAP1,71567RAP1,Perusahaan Penerbit SBSN Indonesia III 2.8% 06/23/2030,3750000,92.795,3479812.5,0.53%,662211157.5,36975000,1479.0
08/28/2026,SPSK,Y57542AA3,Y57542AA3,Malaysia Wakala Sukuk Bhd 2.07% 04/28/2031,3800000,90.050111,3421904.22,0.52%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BNM4RF4,BNM4RF4,Ma'aden Sukuk Ltd 5.25% 02/13/2030,3425000,100.096361,3428300.36,0.52%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BR2Q0M6,BR2Q0M6,BSF Sukuk Co Ltd 4.75% 05/31/2028,3400000,99.889813,3396253.64,0.51%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BN6MLS5,BN6MLS5,Sharjah Sukuk Program Ltd 6.092% 03/19/2034,3250000,103.814726,3373978.6,0.51%,662211157.5,36975000,1479.0
08/28/2026,SPSK,B8FR766,B8FR766,Saudi Electricity Global Sukuk Co 2 5.06% 04/08/2043,3625000,92.945809,3369285.58,0.51%,662211157.5,36975000,1479.0
08/28/2026,SPSK,71567RBH8,71567RBH8,Perusahaan Penerbit SBSN Indonesia III 5% 12/01/2035,3445000,96.834,3335931.3,0.50%,662211157.5,36975000,1479.0
08/28/2026,SPSK,71567RAS5,71567RAS5,Perusahaan Penerbit SBSN Indonesia III 2.55% 06/09/2031,3620000,90.007,3258253.4,0.49%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRWLH75,BRWLH75,Perusahaan Penerbit SBSN Indonesia III 5.25% 11/25/2034,3250000,99.102,3220815.0,0.49%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BP39MN5,BP39MN5,QIB Sukuk Ltd 5.581% 11/22/2028,3100000,101.645495,3151010.35,0.48%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BV2FKM1,BV2FKM1,EDO Sukuk Ltd 5.14% 01/22/2036,3200000,97.463412,3118829.18,0.47%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRBZNK3,BRBZNK3,Saudi Electricity Sukuk Programme Co 4.942% 02/13/2029,3125000,99.97693,3124279.06,0.47%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BLD74V3,BLD74V3,SNB Sukuk Ltd 5.129% 02/27/2029,3100000,100.618759,3119181.53,0.47%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BR87487,BR87487,Fab Sukuk Co Ltd 4.779% 01/23/2029,3030000,99.950333,3028495.09,0.46%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BQH8HG3,BQH8HG3,Perusahaan Penerbit SBSN Indonesia III 5.1% 07/02/2029,2850000,101.302,2887107.0,0.44%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BTGTP53,BTGTP53,BSF Sukuk Co Ltd 5.375% 01/21/2030,2850000,101.36062,2888777.67,0.44%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BR2NP99,BR2NP99,EDO Sukuk Ltd 5.662% 07/03/2031,2850000,101.8415,2902482.75,0.44%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BPCQYB9,BPCQYB9,Sharjah Sukuk Program Ltd 5.192% 05/25/2036,2865000,98.585408,2824471.94,0.43%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BNG21T6,BNG21T6,Almarai Sukuk Ltd 5.233% 07/25/2033,2850000,100.131606,2853750.77,0.43%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BFD1J96,BFD1J96,TNB Global Ventures Capital Bhd 4.851% 11/01/2028,2850000,100.312578,2858908.47,0.43%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRK4C26,BRK4C26,EI Sukuk Co Ltd 5.431% 05/28/2029,2850000,101.004199,2878619.67,0.43%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BR2Q8K0,BR2Q8K0,Khazanah Global Sukuk Bhd 4.687% 06/01/2028,2850000,100.115062,2853279.27,0.43%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRPS1V5,BRPS1V5,Esic Sukuk Ltd 5.831% 02/14/2029,2750000,100.889136,2774451.24,0.42%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BPJM0M3,BPJM0M3,QIIB Senior Oryx Ltd 5.247% 01/24/2029,2750000,100.782948,2771531.07,0.42%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BP94TF5,BP94TF5,DIB Sukuk Ltd 5.493% 11/30/2027,2750000,101.1115,2780566.25,0.42%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BV3PWK2,BV3PWK2,AL Jawaher Assets Co Spc 4.662% 10/29/2030,2850000,97.541713,2779938.82,0.42%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BNKG7Y1,BNKG7Y1,Ma'aden Sukuk Ltd 5.5% 02/13/2035,2765000,99.861834,2761179.71,0.42%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BQLQ923,BQLQ923,EI Sukuk Co Ltd 5.059% 03/25/2030,2750000,100.210855,2755798.51,0.42%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRBQDD9,BRBQDD9,QIB Sukuk Ltd 4.485% 09/17/2029,2750000,98.677058,2713619.1,0.41%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BS48834,BS48834,STC Sukuk Co II Ltd 4.489% 01/15/2031,2735000,97.835895,2675811.73,0.40%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BWPJHX7,BWPJHX7,QIB Sukuk Ltd 4.402% 03/05/2031,2700000,97.59361,2635027.47,0.40%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BP8L128,BP8L128,Sharjah Sukuk Program Ltd 3.886% 04/04/2030,2750000,95.606054,2629166.49,0.40%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BKSC1D7,BKSC1D7,Sharjah Sukuk Program Ltd 3.2% 07/13/2031,2825000,90.999804,2570744.46,0.39%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRJSMH4,BRJSMH4,BSF Sukuk Co Ltd 5% 01/25/2029,2550000,100.10218,2552605.59,0.39%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRWKS80,BRWKS80,Perusahaan Penerbit SBSN Indonesia III 5.65% 11/25/2054,2750000,94.45,2597375.0,0.39%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BSKQPX1,BSKQPX1,National Central Cooling Co PJSC 5.279% 03/05/2030,2550000,100.416241,2560614.15,0.39%,662211157.5,36975000,1479.0
08/28/2026,SPSK,55407NAD4,55407NAD4,Ma'aden Sukuk Ltd 5.25% 01/29/2036,2650000,97.75612,2590537.18,0.39%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BSRK4K6,BSRK4K6,Aldar Investment Properties Sukuk Ltd 5.5% 05/16/2034,2500000,100.030259,2500756.48,0.38%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BT9QYP4,BT9QYP4,Fab Sukuk Co Ltd 4.859% 05/13/2031,2500000,99.432064,2485801.6,0.38%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BTMMRL6,BTMMRL6,DAE Sukuk Difc Ltd 4.5% 10/16/2030,2495000,96.974661,2419517.79,0.37%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BVMLPC4,BVMLPC4,Saudi Electricity Sukuk Programme Co 4.518% 01/22/2032,2550000,97.050242,2474781.17,0.37%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BV6KGS0,BV6KGS0,Aldar Investment Properties Sukuk Ltd 5.25% 03/25/2035,2500000,98.363471,2459086.78,0.37%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BTKTD44,BTKTD44,Fab Sukuk Co Ltd 5.153% 01/16/2030,2355000,100.830361,2374555.0,0.36%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BK6QWG1,BK6QWG1,MAF Sukuk Ltd 4.638% 05/14/2029,2350000,98.468183,2314002.3,0.35%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BNHVS80,BNHVS80,AIR LEASE CORP SUKUK LTD 5.85% 04/01/2028,2300000,101.24072,2328536.56,0.35%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BM98CS0,BM98CS0,Saudi Electricity Global Sukuk Co 5 2.413% 09/17/2030,2400000,90.005762,2160138.29,0.33%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BQH89R8,BQH89R8,Perusahaan Penerbit SBSN Indonesia III 5.5% 07/02/2054,2300000,92.465,2126695.0,0.32%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BKWBF94,BKWBF94,MAF Sukuk Ltd 3.9325% 02/28/2030,2150000,95.349732,2050019.24,0.31%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BMV3KK1,BMV3KK1,Dua Capital Ltd 2.78% 05/11/2031,2280000,91.082154,2076673.11,0.31%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BT6MM06,BT6MM06,Warba Sukuk Ltd 5.351% 07/10/2029,1950000,100.626252,1962211.91,0.30%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BSSD8M4,BSSD8M4,MAR Finance LLC 4.875% 05/29/2030,1950000,100.256829,1955008.17,0.30%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BF29QT0,BF29QT0,Mazoon Assets Co SAOC 5.2% 11/08/2027,1980000,100.003878,1980076.78,0.30%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BV8FT17,BV8FT17,Mashreq AL Islami Sukuk Co Ltd 5.03% 04/22/2030,1975000,100.495834,1984792.72,0.30%,662211157.5,36975000,1479.0
08/28/2026,SPSK,71567RAQ9,71567RAQ9,Perusahaan Penerbit SBSN Indonesia III 3.8% 06/23/2050,2800000,70.767,1981476.0,0.30%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BQT3HY4,BQT3HY4,EI Sukuk Co Ltd 4.54% 03/23/2031,1935000,97.871454,1893812.63,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BMG9H69,BMG9H69,Adib Sukuk Co II Ltd 5.695% 11/15/2028,1900000,101.737103,1933004.96,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BWRXLX5,BWRXLX5,APICORP Sukuk Ltd 4.686% 06/16/2031,1900000,99.522848,1890934.11,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRPS3M0,BRPS3M0,Mazoon Assets Co SAOC 5.5% 02/14/2029,1935000,100.390115,1942548.73,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BSY54K4,BSY54K4,Khazanah Global Sukuk Bhd 4.484% 09/05/2029,1950000,99.448578,1939247.27,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BTLR110,BTLR110,SIB Sukuk Co III Ltd 5.2% 02/26/2030,1950000,100.162169,1953162.3,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BMJ0PJ8,BMJ0PJ8,SIB Sukuk Co III Ltd 4.6% 11/12/2030,1940000,98.326661,1907537.22,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRV46T0,BRV46T0,Aercap Sukuk Ltd/ Cayman Islands 4.5% 10/03/2029,1950000,98.281561,1916490.44,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BP486M8,BP486M8,Aldar Investment Properties Sukuk Ltd 4.875% 05/24/2033,1950000,97.137966,1894190.34,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BTNMLJ1,BTNMLJ1,Boubyan Sukuk Ltd 4.973% 06/04/2030,1950000,99.803489,1946168.04,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,71567RAT3,71567RAT3,Perusahaan Penerbit SBSN Indonesia III 3.55% 06/09/2051,2825000,67.4375,1905109.38,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BPK85K3,BPK85K3,Otel Sukuk Ltd 5.375% 01/24/2031,1935000,100.235068,1939548.57,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BR2NPH7,BR2NPH7,SIB Sukuk Co III Ltd 5.25% 07/03/2029,1900000,100.410424,1907798.06,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BQCZDC7,BQCZDC7,Fab Sukuk Co Ltd 4.581% 01/17/2028,1950000,100.035134,1950685.11,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BSHRGP6,BSHRGP6,ICDPS Sukuk Ltd 4.95% 02/14/2029,1950000,100.116713,1952275.9,0.29%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BVPWCG7,BVPWCG7,MAF Sukuk Ltd 4.875% 10/22/2035,1935000,95.957119,1856770.25,0.28%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BQT3GK3,BQT3GK3,Almarai Sukuk Ltd 4.45% 09/24/2030,1925000,97.661793,1879989.52,0.28%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BKV2KY8,BKV2KY8,Emaar Sukuk Ltd 3.875% 09/17/2029,1950000,96.7145,1885932.75,0.28%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BKT2JY3,BKT2JY3,Aldar Sukuk No 2 Ltd 3.875% 10/22/2029,1950000,96.114701,1874236.67,0.28%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BQ3R6T0,BQ3R6T0,QIIB Senior Oryx Ltd 4.5% 11/13/2030,1885000,98.277609,1852532.93,0.28%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BND89Z9,BND89Z9,Emaar Sukuk Ltd 3.7% 07/06/2031,1950000,93.942805,1831884.7,0.28%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BJLBK71,BJLBK71,DP World Crescent Ltd 3.7495% 01/30/2030,1950000,94.722254,1847083.95,0.28%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BR2PN46,BR2PN46,MAF Sukuk Ltd 5% 06/01/2033,1800000,98.088786,1765598.15,0.27%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BTQLGW3,BTQLGW3,Alinma Sukuk Ltd 4.937% 07/15/2030,1780000,99.790668,1776273.89,0.27%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BWRQQY0,BWRQQY0,APICORP Sukuk Ltd 4.721% 02/03/2036,1875000,96.312006,1805850.11,0.27%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BVMLPB3,BVMLPB3,Saudi Electricity Sukuk Programme Co 4.31% 01/22/2029,1800000,98.562916,1774132.49,0.27%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BT7L5W5,BT7L5W5,Ajman Senior Sukuk Ltd 5.125% 04/30/2030,1800000,99.761475,1795706.55,0.27%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BRC1WZ8,BRC1WZ8,ICDPS Sukuk Ltd 4.391% 10/09/2030,1785000,98.589519,1759822.91,0.27%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BSJN5T9,BSJN5T9,Al Rajhi Sukuk Ltd 4.865% 05/19/2030,1800000,99.571295,1792283.31,0.27%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BKWGXD9,BKWGXD9,Axiata SPV2 Bhd 2.163% 08/19/2030,1950000,90.127737,1757490.87,0.27%,662211157.5,36975000,1479.0
08/28/2026,SPSK,Y54788AB3,Y54788AB3,Malaysia Sukuk Global Bhd 4.08% 04/27/2046,1950000,83.844772,1634973.05,0.25%,662211157.5,36975000,1479.0
08/28/2026,SPSK,Y5749LAB7,Y5749LAB7,Malaysia Sovereign Sukuk Bhd 4.236% 04/22/2045,1950000,86.035656,1677695.29,0.25%,662211157.5,36975000,1479.0
08/28/2026,SPSK,Y57542AB1,Y57542AB1,Malaysia Wakala Sukuk Bhd 3.075% 04/28/2051,1950000,68.222625,1330341.19,0.20%,662211157.5,36975000,1479.0
08/28/2026,SPSK,BLPHWG2,BLPHWG2,Sharjah Sukuk Program Ltd 3.85% 03/19/2035,1000000,89.595776,895957.76,0.14%,662211157.5,36975000,1479.0
